run_id,total_timesteps,learning_rate,gamma,hidden_size,baseline,entropy_coef,episodes_completed,mean_reward_last_10pct,best_episode_reward,final_episode_reward
reinforce_01,60000,0.001,0.99,64,True,0.0,,,,
reinforce_02,60000,0.0005,0.99,64,True,0.0,,,,
reinforce_03,60000,0.0001,0.99,64,True,0.0,,,,
reinforce_04,60000,0.001,0.99,128,True,0.0,,,,
reinforce_05,60000,0.001,0.95,64,True,0.0,,,,
reinforce_06,60000,0.001,0.999,64,True,0.0,,,,
reinforce_07,60000,0.001,0.99,64,False,0.0,,,,
reinforce_08,60000,0.001,0.99,64,True,0.01,,,,
reinforce_09,60000,0.001,0.99,64,True,0.05,,,,
reinforce_10,60000,0.002,0.99,64,True,0.0,,,,
