run_id,total_timesteps,learning_rate,buffer_size,batch_size,gamma,exploration_fraction,exploration_final_eps,target_update_interval,train_freq,learning_starts,episodes_completed,mean_reward_last_10pct,best_episode_reward,final_episode_reward
dqn_01,60000,0.001,20000,32,0.99,0.3,0.05,500,4,1000,313,1460.77,2129.6,1342.58
dqn_02,60000,0.0005,20000,32,0.99,0.3,0.05,500,4,1000,312,1360.09,2071.11,1504.41
dqn_03,60000,0.00025,20000,64,0.99,0.3,0.05,500,4,1000,310,1353.11,2100.37,1417.18
dqn_04,60000,0.001,50000,64,0.99,0.3,0.05,500,4,1000,320,1376.14,2223.91,1320.66
dqn_05,60000,0.001,20000,32,0.95,0.3,0.05,500,4,1000,318,1527.75,2095.83,1511.8
dqn_06,60000,0.001,20000,32,0.999,0.3,0.05,500,4,1000,328,1187.64,2128.96,1422.71
dqn_07,60000,0.001,20000,32,0.99,0.1,0.02,500,4,1000,327,1357.43,2164.56,1583.51
dqn_08,60000,0.001,20000,32,0.99,0.5,0.1,500,4,1000,316,1303.04,1843.49,972.62
dqn_09,60000,0.001,20000,32,0.99,0.3,0.05,100,4,1000,319,1235.52,2002.48,1058.98
dqn_10,60000,0.001,20000,32,0.99,0.3,0.05,2000,4,1000,318,1541.12,2506.71,1841.64
